typeName,slot
Gotan's Modified Dual 425mm AutoCannon,H
Legion Offensive - Assault Optimization,S
Dark Blood Energized Adaptive Nano Membrane,L
Standup XL Energy Neutralizer I,H
200mm AutoCannon I,H
Supplemental Screen Generator I,M
Capital Semiconductor Memory Cell I,R
Small Shield Extender II,M
Gravimetric ECM I,M
Small Azeotropic Restrained Shield Extender,M
Passive Barrier Compensator I,M
F-90 Positional Signal Amplifier,L
Medium Auxiliary Nano Pump II,R
Shield Power Relay II,L
Raysere's Modified Adaptive Nano Plating,L
Shadow Serpentis Magnetic Field Stabilizer,L
Imperial Navy EM Plating,L
425mm Carbide Railgun I,H
Brynn's Modified Energized EM Membrane,L
'Basic' Signal Amplifier,L
Large Inverted Signal Field Projector II,R
Selynne's Modified Kinetic Plating,L
41F Veiled Targeting Unit,M
Large Structure Component Research II,R
Gist C-Type EM Ward Field,M
Capital Warhead Rigor Catalyst I,R
Signal Distortion Amplifier II,L
'Halcyon' Core Equalizer I,L
Chelm's Modified Heavy Capacitor Booster,M
Capital Trimark Armor Pump II,R
Tuvan's Modified Armor Kinetic Hardener,L
Shaqil's Modified Rapid Heavy Missile Launcher,H
ORE Deep Core Mining Laser,H
Shadow Serpentis 150mm Railgun,H
Sentient Sensor Booster,M
Brynn's Modified Co-Processor,L
800mm Repeating Cannon I,H
Dual 425mm AutoCannon II,H
200mm Railgun I,H
Upgraded Energized EM Membrane I,L
Large Targeting System Subcontroller I,R
Medium Tracking Diagnostic Subroutines II,R
XL Torpedo Launcher II,H
Standup Guided Bomb Launcher I,H
Prototype 'Poncho' Cloaking Device I,H
Dark Blood Power Diagnostic System,L
Domination Light Missile Launcher,H
Capital Anti-Explosive Pump II,R
Republic Fleet Overdrive Injector,L
Vizan's Modified Armor Explosive Hardener,L
Large Hull Repairer II,M
OLD Legion Engineering - Supplemental Coolant Injector,S
Adaptive Invulnerability Field II,M
Centus A-Type Armor Thermal Hardener,L
Brynn's Modified Thermal Plating,L
Basic Multi Sensor Backup Array,L
Micro F-RX Prototype Capacitor Boost,M
Standup Reactor Control Unit I,L
Medium Consumable Research I,R
Imperial Navy Armor Thermal Hardener,L
'Mace' Dual Light Beam Laser I,H
Republic Fleet 650mm Artillery,H
'Acolyth' Signal Booster,L
True Sansha Cruise Missile Launcher,H
OLD Proteus Electronics - Friction Extension Processor,S
Small Anti-Thermal Pump II,R
Shadow Serpentis 5MN Microwarpdrive,M
Tracking Computer II,M
Pithum B-Type Adaptive Invulnerability Field,M
Republic Fleet Explosive Deflection Amplifier,M
Polarized Torpedo Launcher,H
Sentient Drone Damage Amplifier,L
Dark Blood Capacitor Power Relay,L
Small Graviton Smartbomb I,H
Small Graviton Smartbomb II,H
Type-E Power Core Modification: Capacitor Power Relay,L
Standup M-Set LNS Materials Reclamation II,R
Large Drone Repair Augmentor II,R
Capital Drone Speed Augmentor I,R
Brokara's Modified Dual Heavy Pulse Laser,H
Gistum C-Type Medium Remote Shield Booster,H
Basic Gravimetric Backup Array,L
Gotan's Modified Kinetic Plating,L
Phased Scoped Target Painter,M
Large Anti-Kinetic Pump I,R
Medium Proton Smartbomb II,H
Large Core Defense Capacitor Safeguard II,R
Ammatar Navy Heat Sink,L
Heavy Jigoro Enduring Stasis Grappler,M
Standup M-Set Basic Medium Ship Manufacturing Time Efficiency II,R
Gatling Modal Laser I,H
Large Semiconductor Memory Cell I,R
Polarized Mega Pulse Laser,H
Chelm's Modified Energized Thermal Membrane,L
Dual 425mm Prototype Automatic Cannon,H
Small F-RX Prototype Capacitor Boost,M
Small Rocket Fuel Cache Partition I,R
Centii A-Type EM Plating,L
Prototype 'Arbalest' Light Missile Launcher,H
Thukker Large Cap Battery,M
Kinetic Plating II,L
Syndicate 200mm Steel Plates,L
Cormack's Modified EM Plating,L
Tuvan's Modified Co-Processor,L
Large Ancillary Remote Armor Repairer,H
Tachyon Afocal Maser I,H
Small Auxiliary Thrusters II,R
Upgraded Armor Explosive Hardener I,L
Centum A-Type Medium Remote Capacitor Transmitter,H
Pithum A-Type Kinetic Deflection Amplifier,M
N-1 Neon Type Rocket Bay,H
Domination 200mm Autocannon,H
Ammatar Navy Small EMP Smartbomb,H
F-M3 Munition Inertial Suspensor,L
Dread Guristas Warp Disruptor,M
Mining Foreman Link - Harvester Capacitor Efficiency I,H
Small Semiconductor Memory Cell I,R
CONCORD XL Torpedo Launcher,H
Tuvan's Modified Electron Blaster Cannon,H
Imperial Navy Large EMP Smartbomb,H
Ice Harvester I,H
Sigma-Nought Tracking Mode I,L
Corelum A-Type 50MN Microwarpdrive,M
Centus X-Type Armor EM Hardener,L
Domination 50MN Microwarpdrive,M
QA Drone Mega Module,L
Dual 425mm Carbine Repeating Cannon I,H
Compressed Enduring Dual 1000mm Railgun,H
Upgraded Adaptive Nano Plating I,L
Corpum C-Type Medium Energy Neutralizer,H
Tairei's Modified Energized Kinetic Membrane,L
Small Asymmetric Remote Capacitor Transmitter,H
True Sansha Light Missile Launcher,H
Shadow Serpentis Energized EM Membrane,L
Cormack's Modified Damage Control,L
Ammatar Navy Capacitor Power Relay,L
Partial Power Plant Manager: Capacity Power Relay,L
Corpus B-Type Armor Kinetic Hardener,L
150mm Railgun II,H
Republic Fleet Heavy Assault Missile Launcher,H
Regulated Electron Phase Cannon I,H
Capital Anti-EM Pump I,R
1600mm Crystalline Carbonide Restrained Plates,L
Domination Quad 3500mm Siege Artillery,H
Medium Particle Dispersion Augmentor II,R
Coreli B-Type Small Armor Repairer,L
Gistum B-Type 10MN Afterburner,M
EM Ward Amplifier I,M
Skirmish Warfare Link - Interdiction Maneuvers II,H
Large Command Processor I,R
Domination Explosive Deflection Amplifier,M
Gistii B-Type 1MN Afterburner,M
Capacitor Flux Coil II,L
Gistum A-Type 10MN Afterburner,M
Dual Heavy Modal Pulse Laser I,H
Sentient Drone Navigation Computer,M
Tobias' Modified X-Large Shield Booster,M
Large Anti-EM Pump I,R
Micro Proton Smartbomb I,H
Small Nanobot Accelerator I,R
'Lance' Medium EMP Smartbomb I,H
Mizuro's Modified Kinetic Plating,L
Cormack's Modified Co-Processor,L
Large Warp Core Optimizer I,R
Heavy Energy Neutralizer II,H
425mm Medium Carbine Repeating Cannon I,H
Connected Remote Sensor Booster,M
Centus A-Type Armor Explosive Hardener,L
Warded Gravimetric Backup Cluster I,L
Republic Fleet Small Shield Extender,M
Standup M-Set Electronic Warfare Projection II,R
Ahremen's Modified Armor Kinetic Hardener,L
Upgraded Energized Adaptive Nano Membrane I,L
Capital Implacable Compact Emergency Hull Energizer,L
Large Hybrid Ambit Extension II,R
Khanid Navy Armor Thermal Hardener,L
OLD Proteus Offensive - Covert Reconfiguration,S
Capital Projectile Burst Aerator I,R
Coreli C-Type Explosive Plating,L
Pith A-Type EM Ward Field,M
Setele's Modified EM Plating,L
Setele's Modified Tracking Computer,M
Frigoris Restrained Ice Harvester Upgrade,L
Unit D-34343's Modified Burst Jammer,M
Selynne's Modified Heavy Capacitor Booster,M
Anode Electron Particle Cannon I,H
Domination Rapid Light Missile Launcher,H
Tobias' Modified Cruise Missile Launcher,H
Republic Fleet Armor EM Hardener,L
Imperial Navy Heavy Beam Laser,H
Gist X-Type Thermal Dissipation Field,M
Prototype Armor EM Hardener I,L
Dark Blood Capital Remote Armor Repairer,H
Reserve Magnetometric Scanners,L
Large Anti-Explosive Pump II,R
Capital Dynamic Fuel Valve I,R
'Capitalist' Magnetic Field Stabilizer I,L
Gistii A-Type 5MN Microwarpdrive,M
Medium Dynamic Fuel Valve II,R
Imperial Navy Cap Recharger,M
Basic Thermal Dissipation Amplifier,M
Caldari Navy Kinetic Deflection Amplifier,M
Republic Fleet Torpedo Launcher,H
Selynne's Modified EM Plating,L
350mm Carbide Railgun I,H
Ahremen's Modified Capacitor Power Relay,L
Large Emission Scope Sharpener II,R
Standup M-Set Basic Capital Component Manufacturing Material Efficiency II,R
Estamel's Modified Large Shield Booster,M
Light Neutron Blaster II,H
Dual Heavy Beam Laser II,H
'Aegis' Explosive Plating I,L
Civilian EM Ward Field,M
Dread Guristas Cruise Missile Launcher,H
Alumel-Wired Enduring Sensor Booster,M
Capital Drone Repair Augmentor II,R
Domination 150mm Autocannon,H
Centum B-Type Medium Armor Repairer,L
Basic Kinetic Deflection Amplifier,M
Standup L-Set Ore Grading Processor II,R
Dual Giga Pulse Laser I,H
Medium Hybrid Discharge Elutriation II,R
Superweapon_AOEECM,H
Dark Blood Dual Heavy Beam Laser,H
220mm Medium Carbine Repeating Cannon I,H
X-Large Shield Booster II,M
Dread Guristas Medium Shield Booster,M
Caldari Navy 350mm Railgun,H
Draclira's Modified Large Armor Repairer,L
Large Liquid Cooled Electronics II,R
Ice Mining Laser I,H
Hakim's Modified Gyrostabilizer,L
100mm Steel Plates II,L
Small Remote Capacitor Transmitter II,H
Medium Hybrid Burst Aerator I,R
Secure Gravimetric Backup Cluster I,L
Federation Navy 425mm Railgun,H
'Greaves' Medium Armor Repairer I,L
Heavy Assault Missile Launcher II,H
'Full Duplex' Ballistic Control System,L
200mm Rolled Tungsten Compact Plates,L
280mm 'Jolt' Artillery I,H
Gotan's Modified Large Armor Repairer,L
Large EMP Smartbomb I,H
Brokara's Modified Armor Explosive Hardener,L
Large Ohm Capacitor Reserve I,M
BH Ship Scanner,M
Gistum B-Type 50MN Microwarpdrive,M
Makur's Modified Capacitor Power Relay,L
150mm Prototype Gauss Gun,H
'Chivalry' Large Remote Capacitor Transmitter,H
Brynn's Modified Sensor Booster,M
Medium Nanobot Accelerator I,R
SpaceAnchor,M
Rash Compact Burst Jammer,M
Mark I Compact Shield Flux Coil,L
Display Launcher,H
75mm Compressed Coil Gun I,H
Gist C-Type Explosive Deflection Field,M
Marked Modified SS Expanded Cargo,L
Rapid Torpedo Launcher I,H
Caldari Navy 200mm Railgun,H
Dark Blood Stasis Webifier,M
Raysere's Modified Energized Thermal Membrane,L
Vepas' Modified Thermal Dissipation Amplifier,M
Dread Guristas Stasis Webifier,M
Large Degenerative Concussion Bomb I,H
Micro K-Exhaust Core Augmentation,L
Medium 'Integrative' Hull Repair Unit,M
Standup XL-Set Missile Fire Control Computer II,R
Medium EW Drone Range Augmentor I,R
Ammatar Navy Large Armor Repairer,L
Sensor Dampening Burst Projector,H
CONCORD Warp Disruption Field Generator,H
CONCORD Heavy Missile Launcher,H
Caldari Navy Shield Boost Amplifier,M
Republic Fleet Large Shield Booster,M
Synthetic Hull Conversion Reinforced Bulkheads,L
Corpus B-Type Armor Explosive Hardener,L
Armored Warfare Link - Damage Control II,H
Federation Navy Dual 250mm Railgun,H
Standup M-Set Advanced Medium Ship Manufacturing Time Efficiency II,R
Standup M-Set Basic Small Ship Manufacturing Time Efficiency I,R
Marked Generator Refitting: Reaction Control,L
Medium Proton Smartbomb I,H
Medium Projectile Metastasis Adjuster II,R
Heavy Fleeting Compact Warp Disruptor,M
Medium Ohm Capacitor Reserve I,M
Medium Projectile Metastasis Adjuster I,R
Imperial Navy Capacitor Power Relay,L
True Sansha Focused Medium Pulse Laser,H
OLD Tengu Offensive - Magnetic Infusion Basin,S
Corpus B-Type Armor Thermal Hardener,L
Federation Navy Electron Blaster Cannon,H
Experimental SV-2000 Rapid Light Missile Launcher,H
Standup M-Set Invention Cost Optimization II,R
800mm Heavy Carbine Repeating Cannon I,H
'Kindred' Gyrostabilizer,L
Medium Drone Repair Augmentor I,R
Capital Stasis Drone Augmentor II,R
Large Remote Armor Repairer I,H
720mm 'Scout' Artillery I,H
Gotan's Modified Heavy Warp Disruptor,M
Corpum A-Type Energized Kinetic Membrane,L
Kinetic Deflection Amplifier II,M
Mining Foreman Link - Mining Laser Field Enhancement II,H
Large Targeting Systems Stabilizer II,R
Micro F-S9 Regolith Shield Induction,M
Dark Blood Thermal Plating,L
Corpum B-Type Energized Thermal Membrane,L
Corpum C-Type Energized Thermal Membrane,L
Medium Cargohold Optimization II,R
Capital I-b Enduring Hull Repairer,M
Partial Power Plant Manager: Capacitor Flux,L
Information Warfare Link - Sensor Integrity II,H
150mm Light Gallium Machine Gun,H
Afocal Precise Quad Mega Pulse Laser,H
Standup L-Set Ice Grading Processor I,R
Gistum B-Type Adaptive Invulnerability Field,M
Medium Ghoul Compact Energy Nosferatu,H
Languid Enduring Ladar ECM,M
Fixed Parallel Link-Capacitor I,M
'Boreas' Coolant System,L
Initiated Enduring Multispectral ECM,M
Corpii B-Type Small Energy Neutralizer,H
Capital Hybrid Locus Coordinator II,R
Medium 'Atonement' Remote Shield Booster,H
Small Energy Discharge Elutriation II,R
Dark Blood Medium Armor Repairer,L
425mm Medium Prototype Automatic Cannon,H
Republic Fleet 100MN Afterburner,M
Cormack's Modified Magnetic Field Stabilizer,L
Tournament Smartbomb,H
Loki Offensive - Projectile Scoping Array,S
Core A-Type Armor EM Hardener,L
Tuvan's Modified Reactor Control Unit,L
Gotan's Modified Rapid Heavy Missile Launcher,H
1400mm Gallium Cannon,H
Capital Flex Armor Hardener II,L
Standup M-Set Thukker Basic Capital Component Manufacturing Material Efficiency,R
Remote Sensor Dampener II,M
True Sansha Micro Capacitor Booster,M
Extra Ladar ECCM Scanning Array I,M
Small Hydraulic Bay Thrusters II,R
Dark Blood Gatling Pulse Laser,H
Standup XL-Set Reprocessing Monitor II,R
Civilian Small Remote Shield Booster,H
1600mm Steel Plates I,L
Type-E Altered SS Nanofiber Structure,L
Medium Micro Jump Drive,M
Selynne's Modified Energized Thermal Membrane,L
X-Large C5-L Emergency Shield Overload I,M
Modal Mega Neutron Particle Accelerator I,H
Large Polycarbon Engine Housing II,R
500MN Digital Booster Microwarpdrive,M
Tobias' Modified EM Ward Amplifier,M
Medium Murky Compact Remote Shield Booster,H
Imperial Navy Energized EM Membrane,L
Remote Sensor Dampener I,M
Energized Kinetic Membrane II,L
Brokara's Modified Heat Sink,L
Beta Reactor Control: Diagnostic System I,L
Arbalest Compact Rapid Torpedo Launcher,H
Small Projectile Metastasis Adjuster II,R
Warp Scrambler I,M
Federation Navy 150mm Railgun,H
Triple Neutron Blaster Cannon II,H
Domination 800mm Repeating Cannon,H
Centus X-Type Armor Kinetic Hardener,L
500MN Cold-Gas Enduring Microwarpdrive,M
Setele's Modified Sensor Booster,M
Mega Anode Particle Stream I,H
Small Particle Dispersion Projector I,R
Small Polycarbon Engine Housing II,R
Tairei's Modified Energized EM Membrane,L
Capital Low Friction Nozzle Joints II,R
'Whiskey' Explosive Deflection Amplifier,M
Limited Armor Explosive Hardener I,L
Medium Transverse Bulkhead I,R
Speculative Ship Identifier I,M
Federation Navy 800mm Steel Plates,L
250mm Prototype Gauss Gun,H
Corelum B-Type Medium Armor Repairer,L
Upgraded Energized Explosive Membrane I,L
Tuvan's Modified 100MN Afterburner,M
10MN Afterburner II,M
FZ-3 Subversive Spatial Destabilizer ECM,M
Domination Thermal Dissipation Amplifier,M
Thon's Modified Adaptive Invulnerability Field,M
Medium Drone Control Range Augmentor I,R
Caldari Navy 75mm Railgun,H
'Interruptive' Warp Disruptor,M
Gotan's Modified Ballistic Control System,L
Capital Armor Repairer I,L
Heavy Beam Laser I,H
Standup M-Set Drone and Fighter Manufacturing Time Efficiency II,R
Armor Kinetic Hardener I,L
Capital Higgs Anchor I,R
Industrial Core I,H
Gistii C-Type Small Shield Booster,M
Reserve RADAR Scanners,L
Large Capacitor Control Circuit I,R
'Crop' Gas Cloud Harvester,H
Standup L-Set Bomb Aimer II,R
Micro 'Vigor' Core Augmentation,L
Large Warhead Flare Catalyst I,R
Domination Small Cap Battery,M
Dread Guristas Small Graviton Smartbomb,H
Capital Algid Hybrid Administrations Unit I,R
Siege Warfare Link - Shield Efficiency II,H
Dark Blood Heat Sink,L
X-Large Converse Deflection Catalyzer,M
Centii B-Type Thermal Plating,L
Legion Defensive - Augmented Plating,S
Dread Guristas Heavy Missile Launcher,H
720mm Howitzer Artillery II,H
Relic Analyzer I,M
Projectile Cache Distributor I,R
Imperial Navy Heavy Energy Nosferatu,H
425mm 'Popper' Railgun,H
500MN Quad LiF Restrained Microwarpdrive,M
Standup L-Set Fighter Mission Control II,R
Ahremen's Modified Energized Explosive Membrane,L
CONCORD Capital Remote Shield Booster,H
Large Warhead Rigor Catalyst II,R
OLD Proteus Defensive - Nanobot Injector,S
Imperial Navy Gatling Pulse Laser,H
Standup L-Set Ice Grading Processor II,R
Capital Stasis Drone Augmentor I,R
'Element' Kinetic Plating I,L
Standup M-Set Basic Small Ship Manufacturing Material Efficiency I,R
Small Core Defense Field Purger II,R
Alpha Hull Mod Reinforced Bulkheads,L
Hostile Target Acquisition I,H
Kaikka's Modified Co-Processor,L
Basic Thermal Plating,L
'Aurora Ominae' Thermal Doomsday,H
Regulated Mega Ion Phase Cannon I,H
Shield Boost Amplifier II,M
250mm 'Flintlock' Railgun,H
Modal Electron Particle Accelerator I,H
Miner II (China),H
Draclira's Modified Cap Recharger,M
Medium Capacitor Booster II,M
Large Hybrid Discharge Elutriation II,R
Corelum A-Type 10MN Afterburner,M
Core X-Type Armor Kinetic Hardener,L
Core C-Type Armor Thermal Hardener,L
Imperial Navy Small Remote Capacitor Transmitter,H
Kaikka's Modified Large Graviton Smartbomb,H
Domination 720mm Howitzer Artillery,H
'Marshall' Magnetometric ECM,M
Corpum B-Type Energized Kinetic Membrane,L
'Cartel' Power Diagnostic System I,L
Medium Core Defense Field Extender I,R
'Meditation' Medium Armor Repairer I,L
Shield Recharger II,M
Cormack's Modified Armor EM Hardener,L
True Sansha Mega Beam Laser,H
Chelm's Modified Kinetic Plating,L
Medium Tapered Capacitor Infusion I,M
Brokara's Modified Energized Explosive Membrane,L
Standup Stasis Webifier I,M
'Swindler' Electron Blaster Cannon I,H
Heavy Missile Launcher I,H
Vizan's Modified Heat Sink,L
Medium 'Accommodation' Vestment Reconstructer I,L
Demo Probe Launcher,H
Imperial Navy Small Energy Neutralizer,H
Dark Blood Energized Explosive Membrane,L
Tetrimon Data Analyzer I,M
Magnetic Field Stabilizer I,L
Limited Energized Thermal Membrane I,L
Small Higgs Anchor I,R
Medium Drone Speed Augmentor I,R
CONCORD Quad 3500mm Siege Artillery,H
Pandemic SPHERE Modified Entosis Link,H
Standup L-Set Thukker Advanced Component Manufacturing Efficiency,R
Standup M-Set TE Research Cost Optimization I,R
Cormack's Modified Tracking Computer,M
‘Holy Destiny’ Electromagnetic Lance,H
'Shady' Sensor Booster,M
Capital Cargohold Optimization I,R
CONCORD Dual Giga Pulse Laser,H
100MN Afterburner II,M
Small Ionic Field Projector II,R
Corelum B-Type Energized Kinetic Membrane,L
F-42 Reiterative Multi-Frequency Backup Sensors,L
Luther Veron's Modified Mega Beam Laser,H
Small Anti-Kinetic Screen Reinforcer I,R
Thon's Modified EM Ward Amplifier,M
A-211 Enduring Guidance Disruptor,M
Centii B-Type Kinetic Plating,L
Balmer Series Compact Tracking Disruptor I,M
Small Rocket Fuel Cache Partition II,R
Small Hybrid Collision Accelerator II,R
Coadjunct Scoped Remote Sensor Booster,M
425mm AutoCannon I,H
Upgraded Kinetic Plating I,L
Heavy 'Brave' Capacitor Booster,M
Estamel's Modified Thermal Dissipation Field,M
Experimental Armor Explosive Hardener I,L
Limited Light Neutron Blaster I,H
Standup M-Set Energy Neutralizer Projection I,R
Small Energy Nosferatu I,H
Polarized Small Focused Pulse Laser,H
True Sansha Energized Kinetic Membrane,L
Prototype ECCM Gravimetric Sensor Cluster,M
Corpus C-Type Armor Thermal Hardener,L
Centii A-Type Small Armor Repairer,L
Domination Rapid Heavy Missile Launcher,H
Raysere's Modified Large EMP Smartbomb,H
Tracking Disruptor I,M
Pith A-Type Shield Boost Amplifier,M
Centum B-Type Energized Explosive Membrane,L
Large Hydraulic Bay Thrusters II,R
Capital Targeting System Subcontroller II,R
'Tycoon' Remote Tracking Computer,M
Anode Ion Particle Cannon I,H
Stealth System I,M
Heavy Infectious Scoped Energy Neutralizer,H
'Hypnos' Multispectral ECM I,M
Caldari Navy EM Ward Field,M
5MN Quad LiF Restrained Microwarpdrive,M
Highstroke Scoped Guidance Disruptor,M
Brokara's Modified Thermal Plating,L
Mizuro's Modified 800mm Repeating Cannon,H
Skirmish Command Burst II,H
Purloined Sansha Data Analyzer,M
Large Semiconductor Memory Cell II,R
Large Projectile Collision Accelerator II,R
1200mm Heavy 'Scout' Artillery I,H
Standup L-Set Missile Flight Processor I,R
Large Drone Speed Augmentor II,R
Capital Signal Disruption Amplifier II,R
Medium Transverse Bulkhead II,R
Dark Blood Small Energy Neutralizer,H
Medium Active Stealth System I,M
Large Proton Smartbomb II,H
Medium Core Defense Field Purger I,R
Dual 150mm Railgun I,H
Standup M-Set Missile Precision I,R
'Bailey' 1600mm Steel Plates,L
Large Signal Focusing Kit II,R
Dual Heavy Pulse Laser I,H
Dark Blood Dual Light Pulse Laser,H
Small Projectile Metastasis Adjuster I,R
Imperial Navy Armor Kinetic Hardener,L
Capital Knave Scoped Energy Nosferatu,H
Focused Medium Pulse Laser I,H
Luther Veron's Modified Heat Sink,L
Small Hydraulic Bay Thrusters I,R
Corpum C-Type Medium Remote Capacitor Transmitter,H
Vepas' Modified Explosive Deflection Amplifier,M
Core C-Type Large Armor Repairer,L
OLD Legion Offensive - Liquid Crystal Magnifiers,S
Syndicate 800mm Steel Plates,L
CONCORD Hexa 2500mm Repeating Cannon,H
Heavy J5b Enduring Warp Scrambler,M
Corelum C-Type Energized Thermal Membrane,L
Information Warfare Link - Electronic Superiority I,H
Gist A-Type Shield Boost Amplifier,M
Gistum A-Type Medium Remote Shield Booster,H
Anode Scoped Ion Siege Blaster,H
Tracking Enhancer I,L
True Sansha Medium Energy Nosferatu,H
Navy Micro Auxiliary Power Core,L
Makur's Modified Power Diagnostic System,L
Capital Core Defense Capacitor Safeguard II,R
Centii B-Type EM Plating,L
OLD Proteus Propulsion - Wake Limiter,S
True Sansha Heavy Capacitor Booster,M
Small Drone Scope Chip II,R
Small 'Trapper' Shield Extender,M
Focused Medium Beam Laser I,H
Light Ion Blaster I,H
Corpus C-Type Large Armor Repairer,L
Khanid Navy Capacitor Power Relay,L
Structure Information Targeted Link,H
Imperial Navy Small Armor Repairer,L
Coreli B-Type 1MN Afterburner,M
True Sansha Rapid Heavy Missile Launcher,H
Medium Polycarbon Engine Housing I,R
Khanid Navy Warp Disruptor,M
25000mm Steel Plates I,L
'Gambler' Ladar ECM,M
Federation Navy Sensor Booster,M
Large Energy Ambit Extension II,R
RADAR Firewall,L
Gist C-Type X-Large Shield Booster,M
Limited Hyperspatial Accelerator,L
Domination Capital Flex Shield Hardener,M
ORE Reinforced Bulkheads,L
LFT Enduring Sensor Dampener,M
Medium Low Friction Nozzle Joints II,R
Explosive Deflection Field I,M
Cross-Lateral Gyrostabilizer I,L
Capital Solace Scoped Remote Armor Repairer,H
Large Processor Overclocking Unit I,R
Capital Remote Armor Repairer II,H
Talocan Data Analyzer I,M
Standup Variable Spectrum ECM I,M
400mm Crystalline Carbonide Restrained Plates,L
Limited Precise Triple Neutron Blaster Cannon,H
Umbra Scoped Radar ECM,M
Magnetic Field Stabilizer II,L
Electron Blaster Cannon I,H
Republic Fleet 425mm Autocannon,H
Heavy 'Moat' Energy Neutralizer,H
Large Remote Hull Repairer II,H
Brokara's Modified Cap Recharger,M
Explosive Plating II,L
Centii A-Type Explosive Plating,L
Medium Remote Repair Augmentor I,R
Brokara's Modified Large Armor Repairer,L
OLD Proteus Defensive - Augmented Plating,S
Estamel's Modified 350mm Railgun,H
Syndicate Gas Cloud Harvester,H
Medium Sentry Damage Augmentor II,R
Jump Portal Generator I,H
Medium Armor Repairer I,L
Tengu Defensive - Covert Reconfiguration,S
Unit W-634's Modified Sensor Booster,M
Small Peroxide Capacitor Power Cell,M
Gistum C-Type Adaptive Invulnerability Field,M
Warded Ladar Backup Cluster I,L
Caldari Navy Small Graviton Smartbomb,H
150mm Railgun I,H
Unit D-34343's Modified Drone Link Augmentor,H
Federation Navy 100mm Steel Plates,L
Guidance Disruptor II,M
Corelum C-Type Energized Explosive Membrane,L
Civilian Gatling Railgun,H
250mm Compressed Coil Gun I,H
Hakim's Modified 1400mm Howitzer Artillery,H
Cargo Scanner I,M
Draclira's Modified Armor Kinetic Hardener,L
Medium Algid Energy Administrations Unit I,R
Skirmish Warfare Link - Rapid Deployment II,H
Capital Anti-Kinetic Screen Reinforcer II,R
Brynn's Modified 500MN Microwarpdrive,M
Large Engine Thermal Shielding II,R
Dread Guristas Cloaking Device,H
Synthetic Hull Conversion Nanofiber Structure,L
Basic Explosive Deflection Amplifier,M
Small Focused Pulse Laser I,H
'Inception' Target Painter,M
'Forger' ECCM - Magnetometric I,M
Large Energy Discharge Elutriation I,R
Beta Hull Mod Inertial Stabilizers,L
Small Ancillary Remote Shield Booster,H
Chelm's Modified Heavy Energy Nosferatu,H
200mm Light Prototype Automatic Cannon,H
Vizan's Modified Cap Recharger,M
Inertial Stabilizers I,L
Dual Heavy Anode Pulse Particle Stream I,H
Anode Scoped Dual Giga Pulse Laser,H
Small Anti-Thermal Pump I,R
Capital Hull Repairer I,M
Capital Energy Nosferatu I,H
Chelm's Modified Heavy Energy Neutralizer,H
Sensor Booster I,M
Large Remote Shield Booster II,H
Standup XL-Set Structure and Component Manufacturing Efficiency I,R
Small Automated Structural Restoration,M
Capital Egress Port Maximizer I,R
Selynne's Modified Capacitor Power Relay,L
Large Powergrid Subroutine Maximizer II,R
250mm Light 'Scout' Artillery I,H
Magnetometric ECM I,M
Federation Navy Neutron Blaster Cannon,H
Federation Navy 200mm Railgun,H
Pith A-Type Thermal Dissipation Field,M
Gist C-Type Thermal Dissipation Field,M
Small Projectile Ambit Extension I,R
X-Large Equipment Research I,R
OLD Legion Defensive - Warfare Processor,S
Mining Foreman Link - Mining Laser Field Enhancement I,H
Shaqil's Modified Heavy Energy Nosferatu,H
Raysere's Modified Armor Thermal Hardener,L
'Pickaxe' Rapid Light Missile Launcher,H
Small Hybrid Burst Aerator I,R
'Barbican' 800mm Steel Plates,L
Khanid Navy Large EMP Smartbomb,H
Centii B-Type Small Armor Repairer,L
Standup M-Set Electronic Warfare Economy I,R
Basic Energized Adaptive Nano Membrane,L
Caldari Navy Co-Processor,L
Thukker Medium Cap Battery,M
Quad Mega Pulse Laser II,H
XL Cruise Missile Launcher II,H
Micro Remote Shield Booster II,H
Capital Targeting Systems Stabilizer I,R
Capital Remote Capacitor Transmitter I,H
Dark Blood Small EMP Smartbomb,H
Small Inefficient Armor Repair Unit,L
Shadow Serpentis 100MN Afterburner,M
Vepas' Modified X-Large Shield Booster,M
Civilian Warp Disruptor,M
Standup M-Set Advanced Small Ship Manufacturing Time Efficiency II,R
Draclira's Modified Thermal Plating,L
Centus B-Type Armor EM Hardener,L
Synthetic Hull Conversion Overdrive Injector,L
Missile Guidance Computer II,M
F-M2 Weapon Inertial Suspensor,L
Domination 220mm Autocannon,H
Large Tech I Subsystem Research II,R
Loki Defensive - Augmented Durability,S
Imperial Navy Explosive Plating,L
Tobias' Modified Kinetic Deflection Amplifier,M
Insulated Stabilizer Array,L
Draclira's Modified Energized Thermal Membrane,L
150mm Light AutoCannon II,H
'Cactus' Modified Kinetic Deflection Amplifier,M
Centii A-Type Adaptive Nano Plating,L
QA ECCM,M
Drone Damage Rig I,R
Standup XL-Set Equipment and Consumable Manufacturing Efficiency I,R
Civilian Miner,H
Large Algid Hybrid Administrations Unit II,R
Small Core Defense Field Purger I,R
Cap Recharger II,M
Large Tech II Component Research II,R
Draclira's Modified Tachyon Beam Laser,H
Tairei's Modified Armor Explosive Hardener,L
Centii C-Type Adaptive Nano Plating,L
Imperial Navy 100mm Steel Plates,L
Capital Bay Loading Accelerator I,R
Eutectic Compact Cap Recharger,M
Astro-Inertial Compact Missile Guidance Computer,M
